Date Time Lat Long 
19.03.2018 14:01:49 47.5017949 18.9762971 
19.03.2018 19:00:54 47.4996116 18.9828259
19.03.2018 22:00:56 47.5009094 18.9784722
20.03.2018 04:01:24 47.5028372 18.9756935
20.03.2018 22:01:30 47.5045324 18.9760052 
21.03.2018 04:01:00 47.5028199 18.9758677
21.03.2018 19:02:16 47.5072557 18.9752123
21.03.2018 22:01:17 47.5006464 18.9753830
22.03.2018 04:01:53 47.5015456 18.9737429
22.03.2018 19:01:33 47.5077817 18.9760357
22.03.2018 22:00:59 47.5006738 18.9752995
23.03.2018 04:02:24 47.5078421 18.9753500
23.03.2018 14:01:23 47.5086445 18.9745703
23.03.2018 19:02:24 47.5084371 18.9757942
23.03.2018 22:00:59 47.5007538 18.9753999 
24.03.2018 04:02:57 47.5075971 18.9761213
24.03.2018 14:00:50 47.5078333 18.9756274
24.03.2018 19:00:50 47.5078580 18.9756035
24.03.2018 22:01:22 47.4998760 18.9750025
25.03.2018 04:01:48 47.5070268 18.9756221
25.03.2018 14:01:50 47.5077917 18.9755152 
25.03.2018 19:01:53 47.5079289 18.9757643
25.03.2018 22:02:52 47.5023302 18.9757908
26.03.2018 04:01:29 47.5026244 18.9778002
26.03.2018 14:01:47 47.5087288 18.9749971
26.03.2018 19:01:54 47.5086725 18.9749300
26.03.2018 22:02:29 47.5039591 18.9758839 
27.03.2018 04:01:43 47.5079072 18.9751484
27.03.2018 14:00:59 47.5087991 18.9752925
27.03.2018 19:01:40 47.5090660 18.9753764
28.03.2018 04:02:40 47.5141446 18.9772087
28.03.2018 14:00:56 47.5144170 18.9765751 
28.03.2018 19:01:54 47.5149866 18.9753817
28.03.2018 22:02:40 47.5167709 18.9809253
29.03.2018 04:00:32 47.5127208 18.9749535
29.03.2018 14:00:56 47.5131057 18.9748571
29.03.2018 19:01:17 47.5125940 18.9701410
29.03.2018 22:02:05 47.4999501 18.9745982
30.03.2018 04:01:17 47.5017001 18.9762888
30.03.2018 14:00:51 47.5017346 18.9763845
30.03.2018 19:01:58 47.4998872 18.9819890
30.03.2018 22:00:59 47.4993799 18.9845955
31.03.2018 19:01:29 47.5064904 18.9755045
01.04.2018 04:01:02 47.5027531 18.9831126
01.04.2018 14:00:59 47.5053212 18.9817557
01.04.2018 19:01:39 47.5081650 18.9777975
01.04.2018 22:00:59 47.5093703 18.9770508 
02.04.2018 04:01:58 47.5066892 18.9752978
02.04.2018 22:01:51 47.5005718 18.9753608
03.04.2018 04:00:59 47.4998974 18.9821635
03.04.2018 14:00:56 47.4998729 18.9821729 
03.04.2018 19:00:59 47.4999595 18.9821149
03.04.2018 22:01:53 47.4999865 18.9831060
04.04.2018 04:00:56 47.4998588 18.9814580
04.04.2018 14:01:20 47.4999881 18.9821636
04.04.2018 19:01:29 47.4998872 18.9820678
04.04.2018 22:01:18 47.4988329 18.9852217 
05.04.2018 04:01:29 47.5131272 18.9750281
05.04.2018 14:00:53 47.5148518 18.9763932
05.04.2018 19:00:59 47.5141624 18.9807091
05.04.2018 22:02:47 47.5108784 18.9643963
06.04.2018 04:01:23 47.5073796 18.9789353
06.04.2018 14:00:47 47.5092822 18.9758519 
06.04.2018 19:00:48 47.5091502 18.9684409
06.04.2018 22:01:30 47.5006254 18.9752438
07.04.2018 04:02:24 47.5077945 18.9756356
07.04.2018 14:03:02 47.5075928 18.9755497
07.04.2018 19:01:01 47.5075232 18.9760773
07.04.2018 22:01:26 47.5080367 18.9762150
08.04.2018 04:01:51 47.5033252 18.9828740
08.04.2018 14:01:31 47.5032527 18.9829014
08.04.2018 19:01:23 47.5054995 18.9816781
08.04.2018 22:01:23 47.5018168 18.9744446
09.04.2018 04:00:59 47.4998496 18.9822133
09.04.2018 14:00:53 47.4998374 18.9822133 
09.04.2018 19:00:59 47.4998995 18.9812485
09.04.2018 22:01:30 47.5001945 18.9823581
10.04.2018 04:01:49 47.5000379 18.9821294
10.04.2018 14:00:49 47.5017955 18.9764214
10.04.2018 19:01:47 47.4998725 18.9820254
10.04.2018 22:00:54 47.4996958 18.9813783 
11.04.2018 04:00:54 47.4998514 18.9813540
11.04.2018 14:01:00 47.4997601 18.9814748
11.04.2018 19:01:00 47.4997840 18.9814198
11.04.2018 22:00:59 47.4997940 18.9814461
12.04.2018 04:01:17 47.4997442 18.9815591
12.04.2018 14:00:54 47.4997332 18.9814787 
12.04.2018 19:00:56 47.4998075 18.9814163
12.04.2018 22:00:49 47.4997864 18.9814254
13.04.2018 04:00:50 47.4996517 18.9816402
13.04.2018 14:00:43 47.4996933 18.9814748
13.04.2018 19:01:17 47.4999427 18.9812932
13.04.2018 22:01:18 47.4997693 18.9814050 
14.04.2018 04:01:29 47.4997225 18.9814026
14.04.2018 14:01:49 47.4997739 18.9821804
14.04.2018 19:00:59 47.4999413 18.9820361
14.04.2018 22:00:59 47.4998588 18.9820647
15.04.2018 04:01:52 47.4998772 18.9821616
15.04.2018 14:00:59 47.4997488 18.9821306 
15.04.2018 19:01:00 47.4998269 18.9821090
15.04.2018 22:00:59 47.4998939 18.9820482
16.04.2018 04:01:56 47.4997994 18.9822525
16.04.2018 14:01:24 47.4998284 18.9820509
16.04.2018 19:01:02 47.4998433 18.9820701
16.04.2018 22:01:01 47.4998711 18.9820227 
17.04.2018 04:01:48 47.4998290 18.9820501
17.04.2018 14:01:38 47.4998120 18.9821086
17.04.2018 19:00:54 47.4998455 18.9820901
17.04.2018 22:00:59 47.4998592 18.9819808
18.04.2018 04:00:54 47.4997996 18.9821505
18.04.2018 14:01:02 47.4998698 18.9821314 
18.04.2018 19:01:52 47.4999642 18.9819270
18.04.2018 22:00:49 47.4997256 18.9814116
19.04.2018 04:00:50 47.4997711 18.9814026
19.04.2018 14:00:54 47.4998231 18.9821745
19.04.2018 19:01:24 47.4998776 18.9819063
19.04.2018 22:00:50 47.4997422 18.9819788 
20.04.2018 04:01:03 47.4997385 18.9816328
20.04.2018 14:01:48 47.4998300 18.9820392
20.04.2018 19:00:59 47.5000070 18.9814548
20.04.2018 22:01:00 47.5003890 18.9798307
21.04.2018 04:00:55 47.4998102 18.9821298
21.04.2018 14:01:17 47.4997790 18.9821725 
21.04.2018 19:01:06 47.4999037 18.9820290
21.04.2018 22:01:51 47.4997971 18.9823121
22.04.2018 04:01:01 47.4998480 18.9820674
22.04.2018 14:00:54 47.4998070 18.9821482
22.04.2018 19:00:57 47.4998559 18.9820462
22.04.2018 22:00:58 47.4998774 18.9820133 
23.04.2018 04:01:18 47.4997708 18.9822639
23.04.2018 14:01:00 47.4998021 18.9820816
23.04.2018 19:01:47 47.4999088 18.9818772
23.04.2018 22:01:01 47.4994768 18.9826474
24.04.2018 04:01:02 47.4995166 18.9827396
24.04.2018 14:00:55 47.5016600 18.9777110 
24.04.2018 19:00:50 47.4998776 18.9820639
24.04.2018 22:01:03 47.4998510 18.9821047
25.04.2018 04:02:44 47.5017454 18.9777659
25.04.2018 14:01:47 47.5018870 18.9763324
25.04.2018 19:01:54 47.5020101 18.9761029
25.04.2018 22:00:56 47.5019147 18.9763645 
26.04.2018 04:00:31 47.5017242 18.9765347
26.04.2018 14:01:24 47.5019066 18.9763814
26.04.2018 19:01:24 47.5019384 18.9764116
26.04.2018 22:01:30 47.5018690 18.9764806
27.04.2018 04:02:36 47.5018974 18.9763398
27.04.2018 14:00:59 47.5018749 18.9764250 
27.04.2018 19:01:49 47.5019748 18.9763653
27.04.2018 22:00:59 47.5020666 18.9763320
28.04.2018 04:02:39 47.5019760 18.9762849
28.04.2018 14:00:59 47.5018808 18.9763281
28.04.2018 19:00:49 47.5019613 18.9765065
28.04.2018 22:01:02 47.5018541 18.9764202 
29.04.2018 04:03:05 47.5017528 18.9767599
29.04.2018 14:00:59 47.5019080 18.9762540
29.04.2018 19:01:47 47.5016573 18.9767011
29.04.2018 22:01:00 47.5019286 18.9763759
30.04.2018 04:01:00 47.5018194 18.9775286
30.04.2018 14:01:17 47.5019827 18.9763767 
30.04.2018 19:01:02 47.5018716 18.9763979
30.04.2018 22:00:59 47.5019124 18.9774604
01.05.2018 04:01:29 47.5026488 18.9768882
01.05.2018 14:00:49 47.5019860 18.9763112
01.05.2018 19:01:25 47.5019309 18.9763814
01.05.2018 22:00:49 47.5018896 18.9763798 
02.05.2018 04:01:53 47.5018574 18.9776094
02.05.2018 14:01:15 47.5015477 18.9774937
02.05.2018 19:00:59 47.5016675 18.9776212
02.05.2018 22:01:00 47.5017508 18.9775035
03.05.2018 04:01:47 47.5017016 18.9769352
03.05.2018 14:00:58 47.5019728 18.9776557 
03.05.2018 19:01:29 47.5018208 18.9774525
03.05.2018 22:00:49 47.5017423 18.9775255
04.05.2018 04:01:31 47.5019627 18.9763190
04.05.2018 14:00:55 47.5013624 18.9760448
04.05.2018 19:00:56 47.5019493 18.9763995
04.05.2018 22:01:00 47.5017477 18.9764712 
05.05.2018 04:01:29 47.5018586 18.9763481
05.05.2018 14:01:50 47.5020489 18.9764100
05.05.2018 19:01:02 47.5017524 18.9764547
05.05.2018 22:00:55 47.5019045 18.9763939
06.05.2018 14:01:23 47.5018621 18.9774679 
06.05.2018 19:02:09 47.5018339 18.9775804
06.05.2018 22:00:48 47.5017441 18.9775969
07.05.2018 04:02:30 47.5018076 18.9775510
07.05.2018 19:01:52 47.5017519 18.9776220
07.05.2018 22:01:43 47.5017776 18.9775596 
08.05.2018 04:02:43 47.5018542 18.9775816
08.05.2018 14:01:29 47.5014887 18.9775513
08.05.2018 19:00:53 47.5008800 18.9784475
08.05.2018 22:01:00 47.5009676 18.9785224
09.05.2018 04:01:43 47.5011745 18.9784659
09.05.2018 14:01:43 47.5000097 18.9821031
09.05.2018 19:01:29 47.4995264 18.9826690
09.05.2018 22:01:52 47.4994913 18.9826392
10.05.2018 04:01:29 47.4998516 18.9829875
10.05.2018 14:01:48 47.4999585 18.9821071
10.05.2018 19:01:54 47.4994544 18.9826768
10.05.2018 22:01:29 47.4994317 18.9826976 
11.05.2018 04:01:40 47.4999376 18.9820929
11.05.2018 19:01:47 47.4997873 18.9819886
11.05.2018 22:01:30 47.4993988 18.9826690
12.05.2018 04:01:58 47.4997276 18.9825424
12.05.2018 14:03:11 47.4999472 18.9819529
12.05.2018 19:02:22 47.5001017 18.9811572
12.05.2018 22:01:02 47.5001342 18.9815062
13.05.2018 04:01:41 47.5001479 18.9815732
13.05.2018 14:01:52 47.4998970 18.9821223
13.05.2018 19:01:30 47.4994591 18.9827066
13.05.2018 22:01:29 47.4994468 18.9827023 
14.05.2018 04:01:41 47.4999591 18.9821063
14.05.2018 19:00:54 47.4998404 18.9820466
14.05.2018 22:01:30 47.4996712 18.9827212
15.05.2018 04:01:38 47.4998196 18.9825459
15.05.2018 14:01:54 47.4996634 18.9824647
15.05.2018 19:03:05 47.4994247 18.9836711
15.05.2018 22:01:00 47.4990053 18.9851159
16.05.2018 04:01:29 47.4996963 18.9825208
16.05.2018 14:01:32 47.4998833 18.9820553
16.05.2018 19:01:09 47.5004593 18.9798484
16.05.2018 22:02:00 47.4999872 18.9816329 
17.05.2018 04:01:41 47.5001683 18.9816808
17.05.2018 14:01:49 47.4999875 18.9821043
17.05.2018 19:02:30 47.4995686 18.9829098
17.05.2018 22:00:49 47.5000283 18.9823895
18.05.2018 04:01:50 47.4998229 18.9826055
18.05.2018 19:01:18 47.5006125 18.9799849
18.05.2018 22:01:17 47.5011548 18.9797967
19.05.2018 04:01:56 47.5001532 18.9814909
19.05.2018 14:01:00 47.4998439 18.9820368
19.05.2018 19:01:45 47.4997000 18.9826028
19.05.2018 22:01:30 47.4991813 18.9849814 
20.05.2018 04:00:48 47.4989514 18.9851794
20.05.2018 14:01:51 47.4999248 18.9820286
20.05.2018 19:01:24 47.5002122 18.9812019
20.05.2018 22:00:49 47.5000399 18.9816035
21.05.2018 14:02:19 47.4997967 18.9821596
21.05.2018 19:01:17 47.4996836 18.9819662
21.05.2018 22:01:02 47.4997633 18.9827753
22.05.2018 04:01:56 47.4998004 18.9825243
22.05.2018 19:00:48 47.5004013 18.9798025
22.05.2018 22:01:00 47.5002173 18.9811477 
23.05.2018 19:00:53 47.4997376 18.9824624
